,stock,description,tokenized_description
1208,金陵饭店,"['多重', '压力', '仍', '扭亏为盈', '继续', '推进', '规模', '扩张']","['多重', '压力', '仍', '扭亏为盈', '继续', '推进', '规模', '扩张']"
1209,环旭电子,"['SiP', '持续', '成长', '汽车', '电子', '加速', '放量']","['SiP', '持续', '成长', '汽车', '电子', '加速', '放量']"
1210,建筑装饰,"['专项', '债', '统计', '更新']","['专项', '债', '统计', '更新']"
1211,建筑材料,"['银', '保监会', '引导', '风险', '处置', '6', '月', '地产', '销售', '降幅', '收窄']","['银', '保监会', '引导', '风险', '处置', '6', '月', '地产', '销售', '降幅', '收窄']"
1212,盐湖股份,"['钾肥', '景气', '环比', '提升', '碳酸锂', '持续', '释放', '产能', '，', '二季度', '业绩', '超', '预期']","['钾肥', '景气', '环比', '提升', '碳酸锂', '持续', '释放', '产能', '，', '二季度', '业绩', '超', '预期']"
1213,云南能投,"['半年度', '业绩', '亮眼', '绿电', '投产', '高峰期', '渐行', '渐近']","['半年度', '业绩', '亮眼', '绿电', '投产', '高峰期', '渐行', '渐近']"
1214,比亚迪,"['业绩', '表现', '亮眼', '进入', '量利', '双升', '通道']","['业绩', '表现', '亮眼', '进入', '量利', '双升', '通道']"
1215,哈尔斯,"['双重', '利好', '助力', '增长', '自主', '品牌', '发力', '国内', '市场']","['双重', '利好', '助力', '增长', '自主', '品牌', '发力', '国内', '市场']"
1216,迪安诊断,"['业绩', '超', '预期', 'ICL', '龙头', '持续', '快速增长']","['业绩', '超', '预期', 'ICL', '龙头', '持续', '快速增长']"
1217,朗新科技,"['业绩', '预计', '稳健', '增长', '充电', '桩', '业务', '表现', '亮眼']","['业绩', '预计', '稳健', '增长', '充电', '桩', '业务', '表现', '亮眼']"
1218,水羊股份,"['低', '估值', '收购', '高端', '品牌', '伊菲丹', '品牌', '逻辑', '继续', '确认']","['低', '估值', '收购', '高端', '品牌', '伊菲丹', '品牌', '逻辑', '继续', '确认']"
1219,天奇股份,"['深耕', '锂电', '回收', '业绩', '进入', '爆发', '期']","['深耕', '锂电', '回收', '业绩', '进入', '爆发', '期']"
1220,中国中免,"['新旗舰', '项目', '开业', '在', '即', '再议', '中免', '长期投资', '价值']","['新旗舰', '项目', '开业', '在', '即', '再议', '中免', '长期投资', '价值']"
1221,江苏银行,"['营收', '增速', '抬升', '资产', '质量', '持续', '改善']","['营收', '增速', '抬升', '资产', '质量', '持续', '改善']"
1222,海能达,"['扭亏为盈', '经营', '逐步', '向', '好']","['扭亏为盈', '经营', '逐步', '向', '好']"
1223,东方财富,"['22Q2', '季度', '环比', '改善']","['22Q2', '季度', '环比', '改善']"
1224,东方财富,"['证券', '业绩', '超', '预期', '投资', '逆市', '高增']","['证券', '业绩', '超', '预期', '投资', '逆市', '高增']"
1225,朗新科技,"['“', '能源', '数字化', '＋', '能源', '互联网', '”', '双轮', '驱动', '成长', '确定性', '高']","['“', '能源', '数字化', '＋', '能源', '互联网', '”', '双轮', '驱动', '成长', '确定性', '高']"
1226,江苏银行,"['投放', '强劲', '业绩', '亮眼']","['投放', '强劲', '业绩', '亮眼']"
1227,Sanq,"['Rapid', '_', 'growth', '_', 'in', '_', '2Q22', '_', 'earnings', '_', 'on', '_', 'robust', '_', 'demand', '_', 'and', '_', 'efficiency']","['Rapid', '_', 'growth', '_', 'in', '_', '2Q22', '_', 'earnings', '_', 'on', '_', 'robust', '_', 'demand', '_', 'and', '_', 'efficiency']"
1228,恒润股份,"['Q2', '业绩', '环比', '改善', '提价', '降本', '下', '盈利', '能力', '向', '好']","['Q2', '业绩', '环比', '改善', '提价', '降本', '下', '盈利', '能力', '向', '好']"
1229,派克新材,"['航空航天', '订单', '充足', '业绩', '保持高速', '增长']","['航空航天', '订单', '充足', '业绩', '保持高速', '增长']"
1230,金圆股份,"['首个', '海外', '盐湖', '项目', '落地', '公司', '高效', '执行力', '的', '又', '一', '力证']","['首个', '海外', '盐湖', '项目', '落地', '公司', '高效', '执行力', '的', '又', '一', '力证']"
1231,金圆股份,"['盐湖', '拓展', '再下', '一城', '锂', '资源', '储量', '正', '扩张']","['盐湖', '拓展', '再下', '一城', '锂', '资源', '储量', '正', '扩张']"
1232,新希望,"['产业', '一体化', '优势', '明显', '农牧', '龙头', '蓄势待发']","['产业', '一体化', '优势', '明显', '农牧', '龙头', '蓄势待发']"
1233,招商蛇口,"['利润率', '压力', '释放', '投资', '领跑', '市场']","['利润率', '压力', '释放', '投资', '领跑', '市场']"
1234,广东鸿图,"['上半年', '业绩', '大幅', '增长', '一体化', '压铸', '加速', '落地']","['上半年', '业绩', '大幅', '增长', '一体化', '压铸', '加速', '落地']"
1235,中科创达,"['收入', '／', '利润', '增速', '符合', '预期', '看好', '驾驶', '域', '突破', '／', '物', '联网', '业务', '毛利率', '改善']","['收入', '／', '利润', '增速', '符合', '预期', '看好', '驾驶', '域', '突破', '／', '物', '联网', '业务', '毛利率', '改善']"
1236,东瑞股份,"['Q2', '业绩', '受', '洪灾', '影响', '承压', '定增', '有望', '助力', '公司', '出栏', '稳步增长']","['Q2', '业绩', '受', '洪灾', '影响', '承压', '定增', '有望', '助力', '公司', '出栏', '稳步增长']"
1237,文灿股份,"['订单', '恢复', '叠加', '新能源', '业务', '拉动', '上半年', '业绩', '大幅', '增长']","['订单', '恢复', '叠加', '新能源', '业务', '拉动', '上半年', '业绩', '大幅', '增长']"
1238,中矿资源,"['至暗', '已过', '业绩', '即将', '迎来', '爆发', '期']","['至暗', '已过', '业绩', '即将', '迎来', '爆发', '期']"
1239,惠伦晶体,"['疫情', '扰动', '需求', '下降', '公司业绩', '承压']","['疫情', '扰动', '需求', '下降', '公司业绩', '承压']"
1240,玲珑轮胎,"['二季度', '净利润', '转正', '业绩', '上行', '拐点', '已现']","['二季度', '净利润', '转正', '业绩', '上行', '拐点', '已现']"
1241,基础化工,"['二季度', '化学原料', '和', '化学', '制品', '制造业', '产能', '利用率', '同比', '下降', '2.3', '个', '百分点', '蛋氨酸', '价格上涨']","['二季度', '化学原料', '和', '化学', '制品', '制造业', '产能', '利用率', '同比', '下降', '2.3', '个', '百分点', '蛋氨酸', '价格上涨']"
1242,上市航司,"['招商', '交运', '物流', '行业', '周报']","['招商', '交运', '物流', '行业', '周报']"
1243,硅宝科技,"['有机', '硅胶', '行业龙头', '硅碳', '负极', '业务', '打造', '全新', '增长极']","['有机', '硅胶', '行业龙头', '硅碳', '负极', '业务', '打造', '全新', '增长极']"
1244,仙鹤股份,"['Q2', '环比', '改善', '看好', '盈利', '企稳', '向上']","['Q2', '环比', '改善', '看好', '盈利', '企稳', '向上']"
1245,中兵红箭,"['兵器', '集团', '董事长', '调研', '豫西', '集团', '中兵', '红箭', '军民品', '双', '驱动']","['兵器', '集团', '董事长', '调研', '豫西', '集团', '中兵', '红箭', '军民品', '双', '驱动']"
1246,双星新材,"['原料', '价格', '下行', '产品', '盈利', '改善', 'PET', '铜箔', '加速', '研发', '卡位', '优质', '赛道']","['原料', '价格', '下行', '产品', '盈利', '改善', 'PET', '铜箔', '加速', '研发', '卡位', '优质', '赛道']"
1247,医药生物,"['政策', '底部', '预期', '强化', '建议', '长期', '配置', '创新', '龙头']","['政策', '底部', '预期', '强化', '建议', '长期', '配置', '创新', '龙头']"
1248,坚朗五金,"['行业', '在', '底部', '企业', '在', '蓄力']","['行业', '在', '底部', '企业', '在', '蓄力']"
1249,金雷股份,"['全球', '风', '电主轴', '龙头', '大型化', '铸造', '产能', '放量', '在', '即']","['全球', '风', '电主轴', '龙头', '大型化', '铸造', '产能', '放量', '在', '即']"
1250,保利发展,"['业绩', '平稳', '释放', '销售', '跃居', '第二']","['业绩', '平稳', '释放', '销售', '跃居', '第二']"
1251,文灿股份,"['Q2', '超', '预期', '百炼', '稳健', '＋', '本部', '高质量', '增长']","['Q2', '超', '预期', '百炼', '稳健', '＋', '本部', '高质量', '增长']"
1252,德业股份,"['户储', '、', '微逆', '、', '组串', '三轮', '驱动', '公司业绩', '大幅', '增长']","['户储', '、', '微逆', '、', '组串', '三轮', '驱动', '公司业绩', '大幅', '增长']"
1253,中科创达,"['不', '惧', '疫情', '高', '增长', '延续', '智驾域', '多点', '发力']","['不', '惧', '疫情', '高', '增长', '延续', '智驾域', '多点', '发力']"
1254,建设机械,"['短期', '业绩', '承压', '单季', '环比', '减负']","['短期', '业绩', '承压', '单季', '环比', '减负']"
1255,科锐国际,"['疫情', '冲击', '增速', '放缓', '用户', '优质', '仍', '领先', '行业']","['疫情', '冲击', '增速', '放缓', '用户', '优质', '仍', '领先', '行业']"
1256,太平鸟,"['经营', '环境', '承压', '2022', '二季度', '业绩', '预计', '亏损', '5700', '万元']","['经营', '环境', '承压', '2022', '二季度', '业绩', '预计', '亏损', '5700', '万元']"
1257,中盐化工,"['Q2', '业绩', '符合', '预期', '持续', '受益', '纯碱', '高', '景气']","['Q2', '业绩', '符合', '预期', '持续', '受益', '纯碱', '高', '景气']"
1258,川仪股份,"['疫情', '造成', '短期', '扰动', '流程', '工业', '智能化', '和', '国产化', '持续', '推进']","['疫情', '造成', '短期', '扰动', '流程', '工业', '智能化', '和', '国产化', '持续', '推进']"
1259,沃尔德首,"['超硬', '刀具', '隐形', '冠军', '多管齐下', '打开', '第二', '成长', '曲线']","['超硬', '刀具', '隐形', '冠军', '多管齐下', '打开', '第二', '成长', '曲线']"
1260,华锐精密,"['四大', '核心技术', '构筑', '壁垒', '产能', '扩张', '保障', '行稳', '致远']","['四大', '核心技术', '构筑', '壁垒', '产能', '扩张', '保障', '行稳', '致远']"
1261,新锐股份,"['矿用', '硬质合金', '龙头企业', '入局', '数控', '刀片', '成长', '可', '期']","['矿用', '硬质合金', '龙头企业', '入局', '数控', '刀片', '成长', '可', '期']"
1262,东阿阿胶,"['利润', '增速', '亮眼', '全年', '业绩', '可', '期']","['利润', '增速', '亮眼', '全年', '业绩', '可', '期']"
1263,东方财富,"['证券', '业务', '业绩', '表现', '超', '预期', '经纪', '业务', '市占率', '持续', '提升']","['证券', '业务', '业绩', '表现', '超', '预期', '经纪', '业务', '市占率', '持续', '提升']"
1264,电力设备,"['国内', '电动车', '销量', '同比', '翻倍', '增长', '风光', '景气', '度', '持续', '旺盛']","['国内', '电动车', '销量', '同比', '翻倍', '增长', '风光', '景气', '度', '持续', '旺盛']"
1265,煤炭政策,"['供需', '面', '有望', '逐步', '向', '好', '2', '、', '3', '季度', '业绩', '确定性', '高']","['供需', '面', '有望', '逐步', '向', '好', '2', '、', '3', '季度', '业绩', '确定性', '高']"
1266,电子行业,"['三星', '折叠', '新机', '已', '通过', 'FCC', '认证', '即将', '发布']","['三星', '折叠', '新机', '已', '通过', 'FCC', '认证', '即将', '发布']"
1267,完美世界,"['22H1', '业绩', '高于', '市场', '预期', '看好', '22', '年', '出海', '利润', '高增']","['22H1', '业绩', '高于', '市场', '预期', '看好', '22', '年', '出海', '利润', '高增']"
1268,永新光学,"['激光雷达', '快速', '推进', '高端', '仪器', '国产', '替代']","['激光雷达', '快速', '推进', '高端', '仪器', '国产', '替代']"
1269,江海股份,"['新能源', '产业', '带来', '广阔', '的', '市场', '增量', '行业', '低', '估值', '蕴含', '确定性', '上涨', '空间']","['新能源', '产业', '带来', '广阔', '的', '市场', '增量', '行业', '低', '估值', '蕴含', '确定性', '上涨', '空间']"
1270,Chin,"['Results', '_', 'to', '_', 'remain', '_', 'strong', '_', 'in', '_', '2Q22', '；', 'a', '_', 'defensive', '_', 'and', '_', 'high', '－', 'beta', '_', 'target']","['Results', '_', 'to', '_', 'remain', '_', 'strong', '_', 'in', '_', '2Q22', '；', 'a', '_', 'defensive', '_', 'and', '_', 'high', '－', 'beta', '_', 'target']"
1271,锦浪科技,"['户', '用光', '储', '业务', '大幅', '增长', '募资', '扩产', '助力', '进一步', '发展']","['户', '用光', '储', '业务', '大幅', '增长', '募资', '扩产', '助力', '进一步', '发展']"
1272,嘉诚国际,"['合同', '落地', '大', '客', '浮出', '水面', '，', '嘉诚', '厚积薄发']","['合同', '落地', '大', '客', '浮出', '水面', '，', '嘉诚', '厚积薄发']"
1273,古井贡酒,"['消费', '回补', '明显', '披荆斩棘', '向前']","['消费', '回补', '明显', '披荆斩棘', '向前']"
1274,深城交首,"['站上', '深圳', '车路', '协同', '的', '浪潮', '之巅']","['站上', '深圳', '车路', '协同', '的', '浪潮', '之巅']"
1275,斯莱克,"['业绩', '同比', '大幅', '增长', '静待', '锂电池', '结构件', '放量', '！']","['业绩', '同比', '大幅', '增长', '静待', '锂电池', '结构件', '放量', '！']"
1276,华电国际,"['Q2', '业绩', '超', '预期', '华电', '新能源', '启动', 'IPO', '申报']","['Q2', '业绩', '超', '预期', '华电', '新能源', '启动', 'IPO', '申报']"
1277,中伟股份,"['轻舟', '已过', '万重山']","['轻舟', '已过', '万重山']"
1278,康龙化成,"['收入', '持续', '强劲', '小', '分子', 'CDMO', '产能', '释放', '有望', '带来', '提速', '增长']","['收入', '持续', '强劲', '小', '分子', 'CDMO', '产能', '释放', '有望', '带来', '提速', '增长']"
1279,保利发展,"['业绩', '稳健', '增长', '销售', '韧性', '显现']","['业绩', '稳健', '增长', '销售', '韧性', '显现']"
1280,社服视角,"['数据', '与', '政策', '边际', '改善', '业绩', '恢复', '机遇', '风险', '并存']","['数据', '与', '政策', '边际', '改善', '业绩', '恢复', '机遇', '风险', '并存']"
1281,战略科技,"['H1', '预告', '利空', '落地', '疫情', '复苏', '下', '展望', '下半年']","['H1', '预告', '利空', '落地', '疫情', '复苏', '下', '展望', '下半年']"
1282,中科创达,"['业绩', '实现', '快速增长', '高通', '合作', '硕果累累']","['业绩', '实现', '快速增长', '高通', '合作', '硕果累累']"
1283,光威复材,"['中', '报', '业绩', '稳健', '股权', '激励', '激发', '长期', '增长', '动能']","['中', '报', '业绩', '稳健', '股权', '激励', '激发', '长期', '增长', '动能']"
1284,精工钢构,"['6', '月', '新', '签', '环比', '改善', '新兴', '业务', '拓展', '加快']","['6', '月', '新', '签', '环比', '改善', '新兴', '业务', '拓展', '加快']"
1285,传媒行业,"['新', '一批', '游戏', '版号', '下发', '王者', '荣耀', '海外版', '开启', '首测']","['新', '一批', '游戏', '版号', '下发', '王者', '荣耀', '海外版', '开启', '首测']"
1286,天壕环境,"['业绩', '历史', '新高', '神安', '蓄势待发']","['业绩', '历史', '新高', '神安', '蓄势待发']"
1287,锦浪科技,"['并网', '储能', '出货', '高增', '扩产', '紧抓', '户储', '爆发', '机遇']","['并网', '储能', '出货', '高增', '扩产', '紧抓', '户储', '爆发', '机遇']"
1288,新华保险,"['利润', '负增长', '边际', '收窄', '负债', '端', '尚处', '底部']","['利润', '负增长', '边际', '收窄', '负债', '端', '尚处', '底部']"
1289,长城汽车,"['产品', '结构', '优化', '叠加', '汇兑', '收益', '业绩', '提升']","['产品', '结构', '优化', '叠加', '汇兑', '收益', '业绩', '提升']"
1290,天目湖2,"['2022H1', '业绩', '预亏', '暑期', '逐步', '进入', '旺季']","['2022H1', '业绩', '预亏', '暑期', '逐步', '进入', '旺季']"
1291,绝味食品,"['开店', '进程', '不减', '看好', '疫后', '同店', '恢复性', '增长']","['开店', '进程', '不减', '看好', '疫后', '同店', '恢复性', '增长']"
1292,中天科技,"['业绩', '预告', '基本', '符合', '预期', '风光', '储', '业务', '加速', '发展']","['业绩', '预告', '基本', '符合', '预期', '风光', '储', '业务', '加速', '发展']"
1293,华菱钢铁,"['行业', '低迷', '业绩', '韧性', '凸显']","['行业', '低迷', '业绩', '韧性', '凸显']"
1294,南方航空,"['多重', '冲击', '影响', '上半年', '亏损', '扩大']","['多重', '冲击', '影响', '上半年', '亏损', '扩大']"
1295,欧派家居,"['整家', '2.0', '柜门', '墙配', '＋', '菜单', '式', '计价', '定制', '王者', '定义', '行业', '整家', '新', '高度']","['整家', '2.0', '柜门', '墙配', '＋', '菜单', '式', '计价', '定制', '王者', '定义', '行业', '整家', '新', '高度']"
1296,顺丰控股,"['疫情', '压力', '测试', '经营', '表现', '稳健']","['疫情', '压力', '测试', '经营', '表现', '稳健']"
1297,杭氧股份,"['杭氧', '、', '沈鼓', '强强联合', '推动', '工业气体', '持续', '国产', '替代']","['杭氧', '、', '沈鼓', '强强联合', '推动', '工业气体', '持续', '国产', '替代']"
1298,东方财富,"['资本', '市场', '转暖', '业绩', '向', '好', '市占率', '持续', '提升']","['资本', '市场', '转暖', '业绩', '向', '好', '市占率', '持续', '提升']"
1299,东方财富,"['交易', '佣金', '率', '提升', '超', '预期', '自营', '业绩', '大增']","['交易', '佣金', '率', '提升', '超', '预期', '自营', '业绩', '大增']"
1300,牧高笛,"['露营', '风至', '乘势而上']","['露营', '风至', '乘势而上']"
1301,继峰股份,"['业绩', '低点', '或', '已', '过', '下半年', '有望', '持续', '改善']","['业绩', '低点', '或', '已', '过', '下半年', '有望', '持续', '改善']"
1302,纳思达2,"['各', '业务', '线', '同步', '改善', '二季度', '持续', '高', '增长']","['各', '业务', '线', '同步', '改善', '二季度', '持续', '高', '增长']"
1303,中科创达,"['无惧', '疫情', '扰动', '2022H1', '业绩', '持续', '高', '增长']","['无惧', '疫情', '扰动', '2022H1', '业绩', '持续', '高', '增长']"
1304,江苏银行,"['业绩', '表现', '超', '预期', '资产', '质量', '延续', '改善']","['业绩', '表现', '超', '预期', '资产', '质量', '延续', '改善']"
1305,朗新科技,"['充电', '业务', '市占率', '快速', '提升', '电力', 'IT', '龙头', '价值', '和', '成长', '兼具']","['充电', '业务', '市占率', '快速', '提升', '电力', 'IT', '龙头', '价值', '和', '成长', '兼具']"
1306,中材国际,"['Q2', '新', '签订', '单', '提速', '运维', '服务', '表现', '亮眼']","['Q2', '新', '签订', '单', '提速', '运维', '服务', '表现', '亮眼']"
1307,吉祥航空,"['积极', '应对', '疫情', '冲击', '暑运', '运力', '有望', '恢复', '至', '19', '年', '九成']","['积极', '应对', '疫情', '冲击', '暑运', '运力', '有望', '恢复', '至', '19', '年', '九成']"
1308,江苏银行,"['业绩', '显著', '提速', '资产', '质量', '大幅', '夯实']","['业绩', '显著', '提速', '资产', '质量', '大幅', '夯实']"
1309,招商蛇口,"['盈利', '水平', '承压', '下行', '销售', '拿', '地', '优于', '行业', '—', '—', '半年度', '业绩', '预告', '点评']","['盈利', '水平', '承压', '下行', '销售', '拿', '地', '优于', '行业', '—', '—', '半年度', '业绩', '预告', '点评']"
1310,江苏银行,"['Q2', '信贷', '投放', '更旺', '助力', '业绩', '增速', '突破', '30', '％']","['Q2', '信贷', '投放', '更旺', '助力', '业绩', '增速', '突破', '30', '％']"
1311,齐心集团,"['疫情', '扰动', '营收', '利润', '修复', '在', '途']","['疫情', '扰动', '营收', '利润', '修复', '在', '途']"
1312,皖能电力,"['半年', '业绩', '预增', '市场', '电', '缓解', '煤价', '压力']","['半年', '业绩', '预增', '市场', '电', '缓解', '煤价', '压力']"
1313,继峰股份,"['Q2', '承压', '座椅', '新', '势力', '后劲', '可', '期']","['Q2', '承压', '座椅', '新', '势力', '后劲', '可', '期']"
1314,朗新科技,"['营收', '快速增长', '下半年', '更值', '期待', '—', '—', '公司', '信息', '更新', '报告']","['营收', '快速增长', '下半年', '更值', '期待', '—', '—', '公司', '信息', '更新', '报告']"
1315,中国国航,"['多重', '冲击', '致', '亏损', '扩大', '静待', '航空', '客运', '需求', '复苏']","['多重', '冲击', '致', '亏损', '扩大', '静待', '航空', '客运', '需求', '复苏']"
1316,光线传媒,"['高', '筑墙', '广积粮', '，', '动画电影', '龙头', '表现', '可', '期']","['高', '筑墙', '广积粮', '，', '动画电影', '龙头', '表现', '可', '期']"
1317,骆驼股份,"['商用车', '业务', '拖累', '业绩', '新能源', '客户', '开拓', '提速', '—', '—', '公司', '信息', '更新', '报告']","['商用车', '业务', '拖累', '业绩', '新能源', '客户', '开拓', '提速', '—', '—', '公司', '信息', '更新', '报告']"
1318,首旅酒店,"['上半年', '业绩', '承压', '静待疫', '后', '复苏']","['上半年', '业绩', '承压', '静待疫', '后', '复苏']"
1319,美年健康,"['疫情', '导致', '增长', '暂缓', '积累', '订单', '有望', '将', '旺季', '提前', '至', 'Q3', '—', '—', '公司', '信息', '更新', '报告']","['疫情', '导致', '增长', '暂缓', '积累', '订单', '有望', '将', '旺季', '提前', '至', 'Q3', '—', '—', '公司', '信息', '更新', '报告']"
1320,中科创达,"['二季度', '延续', '高', '增长', '高', '景气', '赛道', '助力', '成长', '—', '—', '公司', '信息', '更新', '报告']","['二季度', '延续', '高', '增长', '高', '景气', '赛道', '助力', '成长', '—', '—', '公司', '信息', '更新', '报告']"
1321,松原股份,"['新', '客户', '+', '新', '产品', '被动', '安全', '国产', '替代', '加速']","['新', '客户', '+', '新', '产品', '被动', '安全', '国产', '替代', '加速']"
1322,中国化学,"['营收', '继续', '维持', '较', '高', '增速', '实业', '项目', '进一步', '推进']","['营收', '继续', '维持', '较', '高', '增速', '实业', '项目', '进一步', '推进']"
1323,京能电力,"['火', '电量', '价齐升', '盈利', '持续', '修复']","['火', '电量', '价齐升', '盈利', '持续', '修复']"
1324,锦江酒店,"['万店', '王者', '提质', '增效', '酒店', '航母', '轻装', '启航']","['万店', '王者', '提质', '增效', '酒店', '航母', '轻装', '启航']"
1325,森马服饰,"['疫情', '下', '短期', '业绩', '承压', '品牌', '定位', '持续', '优化']","['疫情', '下', '短期', '业绩', '承压', '品牌', '定位', '持续', '优化']"
1326,迈克生物,"['1H22', '内生', '常规', '业务', '稳健', '发展']","['1H22', '内生', '常规', '业务', '稳健', '发展']"
1327,斯达半导,"['新能源', '业务', '占', '比', '提升', '高压', '和', 'SiC', '产品', '积蓄', '成长', '动力']","['新能源', '业务', '占', '比', '提升', '高压', '和', 'SiC', '产品', '积蓄', '成长', '动力']"
1328,德昌股份,"['家电', '＆', '汽零双', '驱动', '稳健', '基本', '盘', '之上', '打造', '增量', '空间']","['家电', '＆', '汽零双', '驱动', '稳健', '基本', '盘', '之上', '打造', '增量', '空间']"
1329,奥特维公,"['光伏', '锂电', '半导体', '三维', '聚力', '平台', '化', '布局', '亮点', '纷呈']","['光伏', '锂电', '半导体', '三维', '聚力', '平台', '化', '布局', '亮点', '纷呈']"
1330,普冉股份,"['22Q2', '环比', '改善', '明显', '新品', '拓展', '和', '产品升级', '加速', '推进']","['22Q2', '环比', '改善', '明显', '新品', '拓展', '和', '产品升级', '加速', '推进']"
1331,中科创达,"['业绩', '符合', '预期', '自动', '驾驶', '将', '打开', '新一轮', '成长', '曲线']","['业绩', '符合', '预期', '自动', '驾驶', '将', '打开', '新一轮', '成长', '曲线']"
1332,神火股份,"['成本', '控制', '优势', '＋', '放量', '2022', '年', 'H1', '业绩', '超', '预期']","['成本', '控制', '优势', '＋', '放量', '2022', '年', 'H1', '业绩', '超', '预期']"
1333,分众传媒,"['疫情', '致', '业绩', '受损', '关注', '消费', '复苏', '和', '汽车', '投放', '增量']","['疫情', '致', '业绩', '受损', '关注', '消费', '复苏', '和', '汽车', '投放', '增量']"
1334,汉威科技,"['期待', '疫情', '影响', '消退', '后', '业绩', '快速增长', '子公司', '业务', '成长', '潜力', '十足', '！']","['期待', '疫情', '影响', '消退', '后', '业绩', '快速增长', '子公司', '业务', '成长', '潜力', '十足', '！']"
1335,东方财富,"['证券', '业务', '增长', '超', '预期', '基金', '业务', '随', '市场', '波动']","['证券', '业务', '增长', '超', '预期', '基金', '业务', '随', '市场', '波动']"
1336,楚天科技,"['拟', '收购', '楚天', '飞云', '股权', '加强', '产业链', '一体化', '布局']","['拟', '收购', '楚天', '飞云', '股权', '加强', '产业链', '一体化', '布局']"
1337,卓胜微,"['2Q22', '业绩', '低于', '预期', '手机', '需求', '疲软']","['2Q22', '业绩', '低于', '预期', '手机', '需求', '疲软']"
1338,诺德股份,"['技术', '行业', '领先', '扩产', '放量', '在', '即']","['技术', '行业', '领先', '扩产', '放量', '在', '即']"
1339,天坛生物,"['业绩', '大超', '预期', '销售', '节奏', '所致']","['业绩', '大超', '预期', '销售', '节奏', '所致']"
1340,中国重汽,"['市', '占', '夺冠', '彰显', '韧性', '静待', '复苏', '释放', '业绩', '弹性']","['市', '占', '夺冠', '彰显', '韧性', '静待', '复苏', '释放', '业绩', '弹性']"
1341,东方财富,"['1H22', '券商', '业务', '实现', '高增', '、', '或', '支撑', '整体', '营收', '稳健', '增长']","['1H22', '券商', '业务', '实现', '高增', '、', '或', '支撑', '整体', '营收', '稳健', '增长']"
1342,志特新材,"['铝模', '行业龙头', '发展', '空间', '广阔']","['铝模', '行业龙头', '发展', '空间', '广阔']"
1343,江苏银行,"['业绩', '靓丽', '估值', '修复', '可', '期']","['业绩', '靓丽', '估值', '修复', '可', '期']"
1344,新和成,"['成本', '上涨', '、', '维生素', '产品销售', '承压', '拖累', '业绩', '多', '项目', '进展', '顺利', '—', '—', '公司', '信息', '更新', '报告']","['成本', '上涨', '、', '维生素', '产品销售', '承压', '拖累', '业绩', '多', '项目', '进展', '顺利', '—', '—', '公司', '信息', '更新', '报告']"
1345,完美世界,"['《', '幻塔', '》', '海外版', '开启', '测试', '关注', '后续', '业绩', '表现']","['《', '幻塔', '》', '海外版', '开启', '测试', '关注', '后续', '业绩', '表现']"
1346,欧派家居,"['发布', '整家', '定制', '2.0', '持续', '引领', '行业', '发展']","['发布', '整家', '定制', '2.0', '持续', '引领', '行业', '发展']"
1347,电力设备,"['海外', '户储', '需求', '火爆', '、', '电动车', '销量', '旺季', '来临']","['海外', '户储', '需求', '火爆', '、', '电动车', '销量', '旺季', '来临']"
1348,大北农,"['养殖', '链', '业务', '短期', '承压', '明显', '转基因', '业务', '未来', '成长', '可', '期']","['养殖', '链', '业务', '短期', '承压', '明显', '转基因', '业务', '未来', '成长', '可', '期']"
1349,通信行业,"['数字', '人民币', '加速', '落地', '海洋', '数字', '经济', '发展', '步伐', '加快']","['数字', '人民币', '加速', '落地', '海洋', '数字', '经济', '发展', '步伐', '加快']"
1350,医药行业,"['医药', '政策', '边际', '缓和', '持续', '关注', '中', '报', '业绩']","['医药', '政策', '边际', '缓和', '持续', '关注', '中', '报', '业绩']"
1351,君亭酒店,"['商旅', '度假', '并举', '迈入', '新', '发展', '阶段']","['商旅', '度假', '并举', '迈入', '新', '发展', '阶段']"
1352,东方财富,"['零售', '证券', '业务', '阿尔法', '显著', '公司业绩', '表现', '持续', '超', '预期']","['零售', '证券', '业务', '阿尔法', '显著', '公司业绩', '表现', '持续', '超', '预期']"
1353,科锐国际,"['经营', '业绩', '符合', '预期', '疫情', '不改', '基本面', '长期', '向', '好']","['经营', '业绩', '符合', '预期', '疫情', '不改', '基本面', '长期', '向', '好']"
1354,天壕环境,"['业绩', '高增', '模式', '验证', '期待', '稀缺', '跨', '省长', '输', '未来', '发展']","['业绩', '高增', '模式', '验证', '期待', '稀缺', '跨', '省长', '输', '未来', '发展']"
1355,金卡智能,"['燃气', '及', '水务', '持续', '推动', '收入', '增长', '期待', '氢', '能源', '等', '产品', '商业', '落地']","['燃气', '及', '水务', '持续', '推动', '收入', '增长', '期待', '氢', '能源', '等', '产品', '商业', '落地']"
1356,牧高笛2,"['露营', '需求', '持续', '火热', '22H1', '业绩', '增长', '再', '提速']","['露营', '需求', '持续', '火热', '22H1', '业绩', '增长', '再', '提速']"
1357,三峡能源,"['业绩', '同比', '大幅', '提升', '新能源', '运营', '龙头', '持续', '领跑']","['业绩', '同比', '大幅', '提升', '新能源', '运营', '龙头', '持续', '领跑']"
1358,朗新科技,"['业绩', '稳中有进', '充电', '业务', '加速']","['业绩', '稳中有进', '充电', '业务', '加速']"
1359,锦江酒店,"['Q2', '业绩', '优于', '预期', '看好', '疫后', '业绩', '修复', '＆', '加速', '展店']","['Q2', '业绩', '优于', '预期', '看好', '疫后', '业绩', '修复', '＆', '加速', '展店']"
